config,hidden_size,activation,epochs,train_time,entropy,npcr,uaci
hidden_64,64,tanh,5,0.5247225761413574,7.133240948231616,99.1790771484375,32.48527377259497
hidden_128,128,tanh,5,0.5463366508483887,7.231909017490517,99.24774169921875,33.436698165594365
hidden_256,256,tanh,5,0.8724114894866943,7.805473506516409,99.530029296875,33.80815094592525
hidden_512,512,tanh,5,0.5382792949676514,7.996793535494774,99.61090087890625,33.2546937231924
activation_tanh,256,tanh,10,0.8067789077758789,7.996793535494774,99.61090087890625,33.2546937231924
activation_relu,256,relu,10,0.7074379920959473,7.996793535494774,99.61090087890625,33.2546937231924
activation_sigmoid,256,sigmoid,10,0.6966252326965332,3.1352119569331367,74.127197265625,25.033216289445466
epochs_5,256,tanh,5,0.5314741134643555,7.7924973997151055,99.5208740234375,33.8378786573223
epochs_10,256,tanh,10,0.6820194721221924,7.996793535494774,99.61090087890625,33.2546937231924
epochs_15,256,tanh,15,0.8533146381378174,7.996793535494774,99.61090087890625,33.2546937231924
epochs_20,256,tanh,20,1.1044340133666992,7.996793535494774,99.61090087890625,33.2546937231924
